"","formid","speciesid","abundance","X","id","fish_memberid","region","site","familyid","timecode","site4","site1","comments","memberid","exp","type","geogr","geogr4","geogr1","latitude","longitude","date","stemp","btemp","btime","start","visibility","averagedepth","maxdepth","current","year","month","day","occ","exp_binary","abundance2","abund_trans","site_dmy"
"97",892,96,0,933086,933095,791,"TWA",34050001,53,0,3405,3,"NULL",791,"N",1,34050001,3405,3,0,0,1994-08-15,"84","84","48","14","2","2","NULL","2",1994,8,15,0,0,1,0,"340500011581994"
"665",985,96,0,153529,153529,26,"TWA",34030023,53,0,3403,3,"NULL",26,"N",1,34030023,3403,3,0,0,1994-05-12,"82","82","62","10","4","3","NULL","2",1994,5,12,0,0,1,0,"baseline"
"1233",1420,96,0,4274,4274,1872,"TWA",34080004,53,0,3408,3,"NULL",1872,"N",1,34080004,3408,3,24.4478,-81.8742,1994-07-19,"86","86","62","16","2","2","NULL","2",1994,7,19,0,0,1,0,"340800041971994"
"1801",1745,96,0,419228,419230,3299,"TWA",34030001,53,0,3403,3,"NULL",3299,"N",1,34030001,3403,3,0,0,1994-05-28,"82","79","67","14","3","3","NULL","1",1994,5,28,0,0,1,0,"340300012851994"
"2369",2031,96,0,153813,153813,27,"TWA",34030026,53,0,3403,3,"NULL",27,"N",1,34030026,3403,3,24.9895,-80.3827,1994-10-26,"86","82","25","13","5","10","NULL","1",1994,10,26,0,0,1,0,"baseline"
"2937",2032,96,0,154363,154363,27,"TWA",34040004,53,0,3404,3,"NULL",27,"N",1,34040004,3404,3,24.9467,-80.457,1994-12-07,"85","80","30","11","3","8","NULL","2",1994,12,7,0,0,1,0,"baseline"
"3505",2034,96,0,154132,154132,27,"TWA",34040004,53,0,3404,3,"NULL",27,"N",1,34040004,3404,3,24.9465,-80.4565,1994-05-16,"0","0","55","13","4","6","NULL","2",1994,5,16,0,0,1,0,"baseline"
"4073",2035,96,0,154238,154238,27,"TWA",34040004,53,0,3404,3,"NULL",27,"N",1,34040004,3404,3,0,0,1994-06-09,"0","0","50","13","4","3","NULL","1",1994,6,9,0,0,1,0,"baseline"
"4641",2042,96,0,1041490,1041500,27,"TWA",34040004,53,0,3404,3,"NULL",27,"N",1,34040004,3404,3,24.9507,-80.455,1994-02-25,"73","0","40","9","3","5","NULL","1",1994,2,25,0,0,1,0,"340400042521994"
"5209",2043,96,0,1044998,1045008,27,"TWA",34040004,53,0,3404,3,"NULL",27,"N",1,34040004,3404,3,24.9522,-80.4593,1994-02-25,"73","0","35","10","4","4","NULL","1",1994,2,25,0,0,1,0,"340400042521994"
"5777",2044,96,0,1040190,1040200,27,"TWA",34030009,53,0,3403,3,"NULL",27,"N",1,34030009,3403,3,25.008,-80.3768,1994-02-27,"72","0","50","10","4","5","NULL","2",1994,2,27,0,0,1,0,"baseline"
"6345",2045,96,0,1041706,1041716,27,"TWA",34040007,53,0,3404,3,"NULL",27,"N",1,34040007,3404,3,24.8698,-80.5703,1994-02-08,"73","0","25","10","2","11","NULL","2",1994,2,8,0,0,1,0,"baseline"
